subjid,isExcluded_Rp,isExcluded_Ts,AN_val_meanRT_Rp,AN_inval_meanRT_Rp,AN_val_sdRT_Rp,AN_inval_sdRT_Rp,AN_val_nErrorTrials_Rp,AN_inval_nErrorTrials_Rp,AN_val_nFpTrials_Rp,AN_inval_nFpTrials_Rp,AN_val_nOl1Trials_Rp,AN_inval_nOl1Trials_Rp,AN_val_nOl2Trials_Rp,AN_inval_nOl2Trials_Rp,AN_val_nOmissionTrials_Rp,AN_inval_nOmissionTrials_Rp,AN_val_nHitTrials_Rp,AN_inval_nHitTrials_Rp,AN_val_nCleanTrials_Rp,AN_inval_nCleanTrials_Rp,AN_val_MeanMaxAmp_Rp,AN_inval_MeanMaxAmp_Rp,AN_val_SdMaxAmp_Rp,AN_inval_SdMaxAmp_Rp,HA_val_meanRT_Rp,HA_inval_meanRT_Rp,HA_val_sdRT_Rp,HA_inval_sdRT_Rp,HA_val_nErrorTrials_Rp,HA_inval_nErrorTrials_Rp,HA_val_nFpTrials_Rp,HA_inval_nFpTrials_Rp,HA_val_nOl1Trials_Rp,HA_inval_nOl1Trials_Rp,HA_val_nOl2Trials_Rp,HA_inval_nOl2Trials_Rp,HA_val_nOmissionTrials_Rp,HA_inval_nOmissionTrials_Rp,HA_val_nHitTrials_Rp,HA_inval_nHitTrials_Rp,HA_val_nCleanTrials_Rp,HA_inval_nCleanTrials_Rp,HA_val_MeanMaxAmp_Rp,HA_inval_MeanMaxAmp_Rp,HA_val_SdMaxAmp_Rp,HA_inval_SdMaxAmp_Rp
VP26,no,no,0.70114,0.85276,0.15591,0.14833,21,7,0,0,1,1,0,0,0,0,59,13,59,13,4128.4589,4207.2897,1184.9637,932.9381,1.0423,1.1719,0.69945,0.74892,17,4,0,0,2,0,0,0,7,0,56,16,63,16,96.8624,105.476,51.0019,44.3876
VP27,no,no,0.4781,0.82692,0.20171,0.39728,18,7,1,0,2,1,0,0,0,0,61,13,62,13,2294.9816,2043.2961,656.7846,630.0222,0.85392,0.75837,0.50394,0.52673,19,5,0,0,4,1,0,0,8,1,53,14,61,15,55.9013,57.9721,20.9535,23.9176
VP28,no,no,0.7619,1.0234,0.32347,0.53881,6,0,14,4,2,1,0,0,16,2,44,14,74,20,5945.4542,4706.9746,5020.0349,5315.4338,0.60673,0.79635,0.41016,0.1423,7,3,1,1,4,0,0,0,1,1,71,15,73,17,91.9266,89.2724,27.7346,31.7412
VP29,no,no,0.63035,0.87086,0.28978,0.32356,6,3,0,0,3,1,0,0,1,0,73,17,74,17,1188.5511,991.365,592.3385,472.7457,0.6819,1.0126,0.50519,0.49807,17,2,1,0,4,1,0,0,2,0,60,18,63,18,64.4507,62.716,23.2687,18.5175
VP30,no,no,0.71492,0.63616,0.23927,0.20753,29,6,0,0,1,0,1,0,0,0,51,14,51,14,3179.4404,3463.7832,1240.0545,1427.6233,0.47338,0.4794,0.32742,0.2594,20,8,0,1,3,0,0,0,6,0,54,11,60,12,53.3886,59.1855,20.5022,23.5348
VP31,no,no,0.68353,0.83882,0.17497,0.20609,15,1,0,0,2,1,0,0,0,0,65,19,65,19,761.0611,744.6288,253.8776,187.22,0.91393,1.0377,0.61434,0.58088,18,2,0,0,3,1,0,0,1,1,61,17,62,18,61.9913,57.5374,29.3357,21.6301
VP32,no,no,0.49655,0.65,0.088293,0.12916,3,0,0,0,3,1,0,0,0,0,77,20,77,20,1308.4521,1398.2965,162.9784,128.3649,0.38596,0.60781,0.2576,0.37329,2,0,0,0,3,1,0,0,6,0,72,20,78,20,88.756,95.459,34.5726,31.1502
VP33,no,no,0.65128,0.76809,0.17489,0.2604,3,1,0,0,3,1,0,0,0,0,77,19,77,19,3131.1741,2929.4047,671.8567,574.8251,1.3579,1.403,0.29763,0.36568,1,0,0,0,2,0,0,1,0,1,79,19,79,20,132.83,127.2273,36.5761,47.3225
VP34,no,no,0.82263,1.1198,0.18395,0.36372,26,5,0,0,2,1,0,0,0,0,54,15,54,15,6669.3487,6286.2298,2200.9463,2278.9499,0.79822,0.94832,0.51763,0.32403,14,7,0,0,5,0,0,1,2,0,64,13,66,13,93.8079,92.7226,32.8245,37.1665
VP35,no,no,0.61029,0.77436,0.21757,0.16252,12,3,0,0,4,1,0,0,0,0,68,17,68,17,3762.423,3511.6296,1316.2274,1207.316,0.90856,1.2188,0.49067,0.50945,6,1,0,0,2,0,0,0,3,1,71,18,74,19,93.7516,83.8125,48.5403,33.4529
VP36,no,yes,0.83307,1.0229,0.2895,0.26676,9,5,1,0,5,0,0,0,2,1,68,14,71,15,2445.3278,2171.8524,1050.5985,641.2086,0.69612,0.64007,0.49811,0.41083,10,4,0,0,4,1,0,0,2,2,68,14,70,16,76.0789,66.8812,23.1218,20.5612
VP37,no,no,0.57262,0.85524,0.24603,0.28225,7,1,2,2,4,1,0,0,0,0,71,17,73,19,5342.6114,4428.9059,1655.6031,1964.6236,0.3784,0.82509,0.21887,0.51616,8,2,0,0,5,1,0,0,3,0,69,18,72,18,42.3333,40.6618,12.7866,10.9626
VP38,no,no,0.9815,1.1213,0.3454,0.41111,9,1,0,0,4,1,0,0,3,0,68,19,71,19,1907.0732,2018.8578,808.1057,429.6586,1.0773,1.3137,0.35797,0.3904,4,4,4,3,3,0,3,1,13,0,59,13,76,16,172.0305,173.185,165.8537,112.4028
VP39,no,no,0.55582,0.91771,0.16358,0.25229,24,5,1,0,3,1,1,0,0,0,55,15,56,15,1746.5168,1539.9992,708.9937,587.289,0.65788,0.91286,0.60515,0.58707,23,7,0,0,5,1,0,0,9,0,48,13,57,13,51.1645,67.8654,34.9606,53.2218
VP40,no,no,0.87162,1.1924,0.29473,0.32638,4,3,0,0,2,1,0,0,2,1,74,16,76,17,4906.6759,3659.8053,2095.6815,1792.2829,0.72297,0.79004,0.61267,0.17298,6,3,0,0,7,0,0,0,0,1,74,16,74,17,90.1466,96.729,26.5746,39.5492
VP41,no,no,0.76653,0.80611,0.2935,0.26704,49,5,2,3,1,1,0,1,3,1,26,11,31,15,1649.7995,1461.5805,627.5037,771.8642,0.80027,1.1471,0.54352,0.57684,26,14,0,0,3,0,0,0,8,0,46,6,54,6,69.2058,68.8029,31.6312,21.0027
VP42,no,no,0.68069,0.76823,0.20972,0.23828,10,2,0,0,3,2,0,0,0,0,70,18,70,18,3918.1421,3609.3585,823.0566,730.9274,0.56476,0.83817,0.31787,0.32244,9,5,0,0,3,2,0,0,2,1,69,14,71,15,104.844,123.7707,35.8345,51.1836
VP43,no,no,0.53114,0.66719,0.094948,0.078183,5,0,2,0,3,1,0,0,1,0,72,20,75,20,827.6149,865.673,292.7622,229.791,0.4656,0.6875,0.18206,0.43926,8,1,0,0,2,1,0,0,0,0,72,19,72,19,153.8185,160.6983,44.3659,40.9366
VP44,no,no,0.38073,0.38695,0.13954,0.097309,5,3,0,0,2,1,1,0,0,0,75,17,75,17,453.0033,569.6477,266.6686,392.0049,0.35337,0.40049,0.33964,0.15476,8,1,0,0,3,1,0,1,7,0,65,19,72,19,111.3161,111.1292,59.8162,33.9177
VP45,no,no,0.60391,0.65017,0.20509,0.31014,10,2,0,0,2,1,0,0,0,0,70,18,70,18,1551.5973,1606.7785,471.9858,442.7951,0.39757,0.54366,0.18618,0.21267,8,3,0,0,5,0,1,1,0,0,72,17,72,17,110.2465,117.3635,23.1125,28.3903
VP46,no,no,0.50215,0.5832,0.16459,0.14263,0,0,0,0,4,1,0,0,0,0,80,20,80,20,2298.2504,2250.6586,612.3925,503.0434,0.39355,0.53203,0.11523,0.14967,0,0,0,0,3,0,0,0,0,0,80,20,80,20,102.4713,110.8451,19.415,19.1286
