subjid,AN_val_1_nErrorTrials_Ts_fine,AN_val_2_nErrorTrials_Ts_fine,AN_inval_1_nErrorTrials_Ts_fine,AN_inval_2_nErrorTrials_Ts_fine,AN_inval_3_nErrorTrials_Ts_fine,AN_val_1_nFpTrials_Ts_fine,AN_val_2_nFpTrials_Ts_fine,AN_inval_1_nFpTrials_Ts_fine,AN_inval_2_nFpTrials_Ts_fine,AN_inval_3_nFpTrials_Ts_fine,AN_val_1_nOmissionTrials_Ts_fine,AN_val_2_nOmissionTrials_Ts_fine,AN_inval_1_nOmissionTrials_Ts_fine,AN_inval_2_nOmissionTrials_Ts_fine,AN_inval_3_nOmissionTrials_Ts_fine,AN_val_1_nHitTrials_Ts_fine,AN_val_2_nHitTrials_Ts_fine,AN_inval_1_nHitTrials_Ts_fine,AN_inval_2_nHitTrials_Ts_fine,AN_inval_3_nHitTrials_Ts_fine,AN_val_1_nCleanTrials_Ts_fine,AN_val_2_nCleanTrials_Ts_fine,AN_inval_1_nCleanTrials_Ts_fine,AN_inval_2_nCleanTrials_Ts_fine,AN_inval_3_nCleanTrials_Ts_fine,HA_val_1_nErrorTrials_Ts_fine,HA_val_2_nErrorTrials_Ts_fine,HA_inval_1_nErrorTrials_Ts_fine,HA_inval_2_nErrorTrials_Ts_fine,HA_inval_3_nErrorTrials_Ts_fine,HA_val_1_nFpTrials_Ts_fine,HA_val_2_nFpTrials_Ts_fine,HA_inval_1_nFpTrials_Ts_fine,HA_inval_2_nFpTrials_Ts_fine,HA_inval_3_nFpTrials_Ts_fine,HA_val_1_nOmissionTrials_Ts_fine,HA_val_2_nOmissionTrials_Ts_fine,HA_inval_1_nOmissionTrials_Ts_fine,HA_inval_2_nOmissionTrials_Ts_fine,HA_inval_3_nOmissionTrials_Ts_fine,HA_val_1_nHitTrials_Ts_fine,HA_val_2_nHitTrials_Ts_fine,HA_inval_1_nHitTrials_Ts_fine,HA_inval_2_nHitTrials_Ts_fine,HA_inval_3_nHitTrials_Ts_fine,HA_val_1_nCleanTrials_Ts_fine,HA_val_2_nCleanTrials_Ts_fine,HA_inval_1_nCleanTrials_Ts_fine,HA_inval_2_nCleanTrials_Ts_fine,HA_inval_3_nCleanTrials_Ts_fine
VP30,20,4,0,1,2,0,0,0,0,0,0,0,0,0,0,44,23,20,27,39,44,23,20,27,39,1,2,3,3,1,1,1,0,0,0,1,0,0,0,0,56,28,12,34,36,58,29,12,34,36
VP31,6,4,3,1,1,0,0,0,0,0,1,1,0,0,0,53,25,15,30,39,54,26,15,30,39,5,1,3,5,3,0,0,0,1,0,2,2,0,0,1,54,27,15,23,38,56,29,15,24,39
VP32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,31,19,33,36,60,31,19,33,37,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,60,27,19,29,40,62,29,19,29,40
VP33,11,14,9,10,15,9,1,1,5,2,0,0,0,0,0,42,14,8,20,19,51,15,9,25,21,23,18,4,6,15,12,1,4,0,5,0,0,0,0,0,28,9,6,27,21,40,10,10,27,26
VP34,2,3,1,1,1,1,0,0,0,0,1,0,0,1,3,59,26,20,28,33,61,26,20,29,36,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,58,29,16,34,38,58,29,16,34,38
VP35,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,60,32,19,27,38,60,32,19,27,39,3,1,0,1,0,0,0,0,0,1,3,0,1,0,0,54,31,21,27,37,57,31,22,27,38
VP36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VP37,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,59,32,19,35,33,59,32,19,35,34,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,62,28,18,26,44,63,28,18,27,44
VP38,3,1,0,0,0,0,0,0,1,2,0,0,0,0,4,56,31,20,33,29,56,31,20,34,35,1,1,0,1,0,3,0,0,0,1,4,1,0,5,2,54,26,21,21,38,61,27,21,26,41
VP39,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,62,26,21,30,38,62,27,21,30,38,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,60,30,16,37,34,60,30,16,37,34
VP40,24,12,9,22,29,0,0,2,3,0,0,0,0,0,0,39,15,5,12,7,39,15,7,15,7,50,22,2,5,13,3,1,2,5,3,0,0,0,0,0,11,4,18,25,16,14,5,20,30,19
VP41,7,8,1,2,3,8,0,0,1,1,0,0,0,0,0,50,19,18,29,32,58,19,18,30,33,5,5,2,3,5,0,0,0,0,0,2,1,1,1,1,55,24,15,34,26,57,25,16,35,27
VP42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,61,30,16,33,39,61,30,16,33,39,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,62,29,18,31,36,62,29,18,31,37
VP43,6,5,5,7,4,0,0,0,0,0,0,0,0,0,0,52,29,13,26,33,52,29,13,26,33,8,4,3,2,2,3,3,2,2,3,0,0,0,0,0,51,22,16,20,38,54,25,18,22,41
VP44,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,61,30,20,26,38,61,30,20,26,38,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,59,33,18,31,36,59,33,18,31,37
VP45,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,60,27,17,27,41,61,28,17,27,42,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,59,32,22,31,33,60,32,22,31,33
VP46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,30,20,26,39,64,30,20,26,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,33,16,34,36,60,33,16,34,36
