subjid,isExcluded_Rp,isExcluded_Ts,AN_val_meanRT_Rp,AN_inval_meanRT_Rp,AN_val_sdRT_Rp,AN_inval_sdRT_Rp,AN_val_nErrorTrials_Rp,AN_inval_nErrorTrials_Rp,AN_val_nFpTrials_Rp,AN_inval_nFpTrials_Rp,AN_val_nOl1Trials_Rp,AN_inval_nOl1Trials_Rp,AN_val_nOl2Trials_Rp,AN_inval_nOl2Trials_Rp,AN_val_nOmissionTrials_Rp,AN_inval_nOmissionTrials_Rp,AN_val_nHitTrials_Rp,AN_inval_nHitTrials_Rp,AN_val_nCleanTrials_Rp,AN_inval_nCleanTrials_Rp,AN_val_MeanMaxAmp_Rp,AN_inval_MeanMaxAmp_Rp,AN_val_SdMaxAmp_Rp,AN_inval_SdMaxAmp_Rp,HA_val_meanRT_Rp,HA_inval_meanRT_Rp,HA_val_sdRT_Rp,HA_inval_sdRT_Rp,HA_val_nErrorTrials_Rp,HA_inval_nErrorTrials_Rp,HA_val_nFpTrials_Rp,HA_inval_nFpTrials_Rp,HA_val_nOl1Trials_Rp,HA_inval_nOl1Trials_Rp,HA_val_nOl2Trials_Rp,HA_inval_nOl2Trials_Rp,HA_val_nOmissionTrials_Rp,HA_inval_nOmissionTrials_Rp,HA_val_nHitTrials_Rp,HA_inval_nHitTrials_Rp,HA_val_nCleanTrials_Rp,HA_inval_nCleanTrials_Rp,HA_val_MeanMaxAmp_Rp,HA_inval_MeanMaxAmp_Rp,HA_val_SdMaxAmp_Rp,HA_inval_SdMaxAmp_Rp,nRpTrials
VP11,yes,no,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91
VP12,no,no,0.71381,0.68503,0.19973,0.26383,1,0,0,0,4,1,0,1,0,1,79,19,79,20,2041.9539,1911.746,513.2192,517.7002,0.51833,0.66289,0.22782,0.21459,1,0,0,0,2,1,1,1,1,0,78,20,79,20,124.9192,142.8838,37.5435,37.1071,200
VP13,no,no,0.384,0.55773,0.17907,0.10997,14,2,0,0,2,1,0,0,0,0,66,18,66,18,2111.7198,1924.79,528.6455,640.4223,0.14357,0.30816,0.12727,0.25182,11,2,0,0,3,0,0,0,0,0,69,18,69,18,84.5187,84.6653,22.8226,35.7782,200
VP14,yes,no,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46
VP15,no,no,0.63991,0.71258,0.20878,0.14783,0,1,2,0,3,0,0,0,2,0,76,19,80,19,9518.2806,8946.7906,6315.3691,3463.0503,0.49469,0.69243,0.20365,0.15216,1,0,1,0,3,0,0,0,0,1,78,19,79,20,357.4008,380.1439,135.477,156.8773,200
VP16,no,no,0.7315,0.80039,0.2205,0.32586,3,0,1,0,3,2,0,0,0,0,76,20,77,20,2503.6591,2533.8597,615.7044,431.3032,0.28559,0.36458,0.31488,0.40763,8,2,0,0,3,1,0,0,0,0,72,18,72,18,57.0581,54.4109,18.1486,13.235,200
VP17,no,no,0.90317,0.93408,0.35548,0.45162,14,3,0,1,3,1,0,1,0,0,66,16,66,17,2117.9164,2090.8222,547.4309,803.0598,0.25793,0.4421,0.2147,0.28029,11,3,0,0,1,0,0,0,0,0,69,17,69,17,67.4656,72.3733,19.0181,12.7332,200
VP18,no,no,0.59787,0.69819,0.19906,0.19007,5,0,1,1,3,1,0,0,0,0,74,19,75,20,5325.4497,5204.9017,1146.1374,1470.066,0.3712,0.63511,0.32064,0.35577,5,2,1,1,3,0,0,0,2,0,72,17,75,18,175.2785,170.3932,81.7314,75.3747,200
VP19,no,no,0.93828,1.0685,0.36411,0.45143,7,3,3,0,4,0,0,0,0,0,70,17,73,17,2082.8631,1692.1349,1307.5056,1060.1386,0.39475,0.44243,0.27994,0.33986,8,0,0,1,0,0,0,0,0,0,72,19,72,20,92.2802,94.9215,30.0144,39.2504,200
VP20,no,no,0.6912,0.82568,0.15215,0.13531,4,4,0,0,2,0,0,0,0,0,76,16,76,16,2107.2159,2472.0491,366.7942,379.9924,0.17198,0.24957,0.26349,0.31442,8,2,0,0,5,1,0,0,0,0,72,18,72,18,86.3959,93.0908,36.9282,77.316,200
