subjid,isExcluded_Rp,isExcluded_Ts,AN_val_meanRT_Rp,AN_inval_meanRT_Rp,AN_val_sdRT_Rp,AN_inval_sdRT_Rp,AN_val_nErrorTrials_Rp,AN_inval_nErrorTrials_Rp,AN_val_nFpTrials_Rp,AN_inval_nFpTrials_Rp,AN_val_nOl1Trials_Rp,AN_inval_nOl1Trials_Rp,AN_val_nOl2Trials_Rp,AN_inval_nOl2Trials_Rp,AN_val_nOmissionTrials_Rp,AN_inval_nOmissionTrials_Rp,AN_val_nHitTrials_Rp,AN_inval_nHitTrials_Rp,AN_val_nCleanTrials_Rp,AN_inval_nCleanTrials_Rp,AN_val_MeanMaxAmp_Rp,AN_inval_MeanMaxAmp_Rp,AN_val_SdMaxAmp_Rp,AN_inval_SdMaxAmp_Rp,HA_val_meanRT_Rp,HA_inval_meanRT_Rp,HA_val_sdRT_Rp,HA_inval_sdRT_Rp,HA_val_nErrorTrials_Rp,HA_inval_nErrorTrials_Rp,HA_val_nFpTrials_Rp,HA_inval_nFpTrials_Rp,HA_val_nOl1Trials_Rp,HA_inval_nOl1Trials_Rp,HA_val_nOl2Trials_Rp,HA_inval_nOl2Trials_Rp,HA_val_nOmissionTrials_Rp,HA_inval_nOmissionTrials_Rp,HA_val_nHitTrials_Rp,HA_inval_nHitTrials_Rp,HA_val_nCleanTrials_Rp,HA_inval_nCleanTrials_Rp,HA_val_MeanMaxAmp_Rp,HA_inval_MeanMaxAmp_Rp,HA_val_SdMaxAmp_Rp,HA_inval_SdMaxAmp_Rp
VP30,no,no,0.73363,0.65312,0.20441,0.20755,59,15,0,0,0,0,1,0,0,0,21,5,21,5,3179.4404,3463.7832,1240.0545,1427.6233,0.35,0.45313,0.19376,0.32532,55,16,0,0,1,0,0,0,0,0,25,4,25,4,53.3886,59.1855,20.5022,23.5348
VP31,no,no,0.66767,0.90332,0.13828,0.26341,54,12,0,0,0,0,1,0,0,0,26,8,26,8,761.0611,744.6288,253.8776,187.22,0.37095,0.63359,0.13019,0.33017,53,10,0,0,1,0,2,0,0,0,27,10,27,10,61.9913,57.5374,29.3357,21.6301
VP32,no,no,0.49974,0.65469,0.092881,0.14327,21,5,0,0,3,1,0,0,0,0,59,15,59,15,1308.4521,1398.2965,162.9784,128.3649,0.31605,0.45673,0.1342,0.12989,25,7,0,0,3,0,1,1,0,0,55,13,55,13,88.756,95.459,34.5726,31.1502
VP33,no,no,0.66542,0.7759,0.17276,0.2604,5,1,0,0,3,1,0,0,0,0,75,19,75,19,3131.1741,2929.4047,671.8567,574.8251,0.86844,0.88322,0.35796,0.32564,5,1,0,0,2,1,0,0,0,0,75,19,75,19,132.83,127.2273,36.5761,47.3225
VP34,no,no,0.80424,1.082,0.18276,0.34691,45,12,0,0,2,1,0,0,0,0,35,8,35,8,6669.3487,6286.2298,2200.9463,2278.9499,0.44141,0.65137,0.29086,0.34403,42,12,0,0,2,0,0,0,0,0,38,8,38,8,93.8079,92.7226,32.8245,37.1665
VP35,no,no,0.61374,0.91563,0.20014,0.18549,37,15,0,0,2,0,0,0,0,0,43,5,43,5,3762.423,3511.6296,1316.2274,1207.316,0.43821,0.57752,0.20562,0.34723,36,7,0,0,2,1,1,0,0,0,44,13,44,13,93.7516,83.8125,48.5403,33.4529
VP36,no,yes,0.85156,1.0495,0.30492,0.29473,41,10,1,0,2,0,0,0,0,1,38,9,39,10,2445.3278,2171.8524,1050.5985,641.2086,0.34272,0.47852,0.17723,0.23977,42,12,0,0,1,0,0,0,0,0,38,8,38,8,76.0789,66.8812,23.1218,20.5612
VP37,no,no,0.55941,0.83691,0.186,0.21825,31,10,1,2,2,0,0,0,0,0,48,8,49,10,5342.6114,4428.9059,1655.6031,1964.6236,0.34407,0.4668,0.1659,0.32796,31,8,0,0,1,0,0,0,0,0,49,12,49,12,42.3333,40.6618,12.7866,10.9626
VP38,no,no,0.98698,1.1375,0.33675,0.39564,14,5,2,0,3,1,0,0,1,0,63,15,66,15,1907.0732,2018.8578,808.1057,429.6586,0.88904,1.2542,0.38353,0.4129,13,6,2,1,3,1,1,0,1,0,64,13,67,14,172.0305,173.185,165.8537,112.4028
VP39,no,no,0.57948,0.94878,0.15915,0.31903,56,11,1,0,2,1,0,0,0,0,23,9,24,9,1746.5168,1539.9992,708.9937,587.289,0.41919,0.62054,0.21765,0.21156,48,13,0,0,1,0,0,0,0,0,32,7,32,7,51.1645,67.8654,34.9606,53.2218
VP40,no,no,0.87173,1.1328,0.29835,0.19512,35,9,2,0,1,0,0,0,0,1,43,10,45,11,4906.6759,3659.8053,2095.6815,1792.2829,0.37569,0.58381,0.1449,0.2705,35,9,0,0,3,0,0,0,0,0,45,11,45,11,90.1466,96.729,26.5746,39.5492
VP41,no,no,0.85026,0.81563,0.37119,0.38735,66,14,2,1,1,0,0,0,0,0,12,5,14,6,1649.7995,1461.5805,627.5037,771.8642,0.3861,0.11719,0.2207,0.088388,61,18,0,0,0,0,0,0,0,0,19,2,19,2,69.2058,68.8029,31.6312,21.0027
VP42,no,no,0.66687,0.68294,0.1667,0.12408,41,8,0,0,1,0,0,0,0,0,39,12,39,12,3918.1421,3609.3585,823.0566,730.9274,0.48923,0.5842,0.1392,0.20187,43,11,0,0,2,0,1,0,0,0,37,9,37,9,104.844,123.7707,35.8345,51.1836
VP43,no,no,0.53683,0.66797,0.096062,0.073719,21,6,3,0,3,0,0,0,0,0,56,14,59,14,827.6149,865.673,292.7622,229.791,0.41091,0.60059,0.092971,0.26492,28,4,0,0,1,1,1,0,0,0,52,16,52,16,153.8185,160.6983,44.3659,40.9366
VP44,no,no,0.39909,0.40865,0.15146,0.10288,20,7,0,0,2,1,0,0,0,0,60,13,60,13,453.0033,569.6477,266.6686,392.0049,0.24769,0.3763,0.057583,0.10644,26,8,0,0,1,1,1,0,0,0,54,12,54,12,111.3161,111.1292,59.8162,33.9177
VP45,no,no,0.61686,0.64621,0.20615,0.34775,32,6,0,0,2,1,0,0,0,0,48,14,48,14,1551.5973,1606.7785,471.9858,442.7951,0.33073,0.36458,0.1442,0.18389,41,8,0,0,2,0,0,0,0,0,39,12,39,12,110.2465,117.3635,23.1125,28.3903
VP46,no,no,0.50996,0.59005,0.16459,0.14647,0,1,0,0,4,1,0,0,0,0,80,19,80,19,2298.2504,2250.6586,612.3925,503.0434,0.36279,0.52187,0.11308,0.15003,0,0,0,0,4,0,1,0,0,0,80,20,80,20,102.4713,110.8451,19.415,19.1286
