subjid,isExcluded_Rp,isExcluded_Ts,AN_val_meanRT_Rp,AN_inval_meanRT_Rp,AN_val_sdRT_Rp,AN_inval_sdRT_Rp,AN_val_nErrorTrials_Rp,AN_inval_nErrorTrials_Rp,AN_val_nFpTrials_Rp,AN_inval_nFpTrials_Rp,AN_val_nOl1Trials_Rp,AN_inval_nOl1Trials_Rp,AN_val_nOl2Trials_Rp,AN_inval_nOl2Trials_Rp,AN_val_nOmissionTrials_Rp,AN_inval_nOmissionTrials_Rp,AN_val_nHitTrials_Rp,AN_inval_nHitTrials_Rp,AN_val_nCleanTrials_Rp,AN_inval_nCleanTrials_Rp,AN_val_MeanMaxAmp_Rp,AN_inval_MeanMaxAmp_Rp,AN_val_SdMaxAmp_Rp,AN_inval_SdMaxAmp_Rp,HA_val_meanRT_Rp,HA_inval_meanRT_Rp,HA_val_sdRT_Rp,HA_inval_sdRT_Rp,HA_val_nErrorTrials_Rp,HA_inval_nErrorTrials_Rp,HA_val_nFpTrials_Rp,HA_inval_nFpTrials_Rp,HA_val_nOl1Trials_Rp,HA_inval_nOl1Trials_Rp,HA_val_nOl2Trials_Rp,HA_inval_nOl2Trials_Rp,HA_val_nOmissionTrials_Rp,HA_inval_nOmissionTrials_Rp,HA_val_nHitTrials_Rp,HA_inval_nHitTrials_Rp,HA_val_nCleanTrials_Rp,HA_inval_nCleanTrials_Rp,HA_val_MeanMaxAmp_Rp,HA_inval_MeanMaxAmp_Rp,HA_val_SdMaxAmp_Rp,HA_inval_SdMaxAmp_Rp
VP32,no,no,0.50244,0.65781,0.088113,0.12916,0,0,0,0,4,1,0,0,0,0,80,20,80,20,1308.4521,1398.2965,162.9784,128.3649,0.2418,0.36094,0.17491,0.23589,0,0,0,0,3,0,0,0,0,0,80,20,80,20,88.756,95.459,34.5726,31.1502
VP33,no,no,0.65234,0.76992,0.1889,0.25487,0,0,0,0,3,1,1,0,0,0,80,20,80,20,3131.1741,2929.4047,671.8567,574.8251,0.83701,0.83945,0.37644,0.37253,0,0,0,0,2,1,2,1,0,0,80,20,80,20,132.83,127.2273,36.5761,47.3225
VP34,no,no,0.81824,1.1275,0.20926,0.34506,0,0,1,1,4,2,1,0,0,0,79,19,80,20,6669.3487,6286.2298,2200.9463,2278.9499,0.24492,0.26523,0.33167,0.38501,0,0,0,0,4,1,0,0,0,0,80,20,80,20,93.8079,92.7226,32.8245,37.1665
VP35,no,no,0.60752,0.78242,0.20493,0.15224,0,0,0,0,4,1,0,0,0,0,80,20,80,20,3762.423,3511.6296,1316.2274,1207.316,0.2958,0.49414,0.26583,0.44949,0,0,0,0,3,1,0,0,0,0,80,20,80,20,93.7516,83.8125,48.5403,33.4529
VP36,no,yes,0.82669,1.0099,0.30067,0.24549,0,0,4,0,4,0,1,0,0,1,76,19,80,20,2445.3278,2171.8524,1050.5985,641.2086,0.19961,0.22109,0.22678,0.27556,0,0,0,0,4,1,0,0,0,0,80,20,80,20,76.0789,66.8812,23.1218,20.5612
VP37,no,no,0.56641,0.86328,0.24739,0.27383,0,0,2,2,4,1,1,0,0,0,78,18,80,20,5342.6114,4428.9059,1655.6031,1964.6236,0.21748,0.33281,0.20832,0.33173,0,0,0,0,2,0,0,0,0,0,80,20,80,20,42.3333,40.6618,12.7866,10.9626
VP38,no,no,0.96263,1.141,0.37561,0.40367,0,0,5,0,5,1,1,0,1,0,74,20,80,20,1907.0732,2018.8578,808.1057,429.6586,0.75436,0.92393,0.4723,0.65586,0,0,2,1,2,1,0,0,1,0,77,19,80,20,172.0305,173.185,165.8537,112.4028
VP39,no,no,0.58505,0.95683,0.18348,0.27847,0,0,1,1,2,2,2,0,0,0,79,19,80,20,1746.5168,1539.9992,708.9937,587.289,0.19092,0.32109,0.24484,0.37124,0,0,0,0,2,0,0,0,0,0,80,20,80,20,51.1645,67.8654,34.9606,53.2218
VP40,no,no,0.87089,1.185,0.30418,0.32002,0,0,2,0,2,1,1,0,0,1,78,19,80,20,4906.6759,3659.8053,2095.6815,1792.2829,0.23447,0.34961,0.20957,0.34752,0,0,0,0,3,0,0,0,0,0,80,20,80,20,90.1466,96.729,26.5746,39.5492
VP41,no,no,0.54559,0.78467,0.50102,0.22484,0,0,7,4,3,1,0,1,0,0,73,16,80,20,1649.7995,1461.5805,627.5037,771.8642,0.21621,0.082812,0.35071,0.19407,0,0,0,0,3,1,0,0,0,0,80,20,80,20,69.2058,68.8029,31.6312,21.0027
VP42,no,no,0.67666,0.81094,0.20528,0.25822,0,0,0,0,3,1,0,0,0,0,80,20,80,20,3918.1421,3609.3585,823.0566,730.9274,0.25879,0.29297,0.25372,0.31205,0,0,0,0,2,0,0,0,0,0,80,20,80,20,104.844,123.7707,35.8345,51.1836
VP43,no,no,0.53967,0.675,0.095252,0.078183,0,0,3,0,3,1,0,0,0,0,77,20,80,20,827.6149,865.673,292.7622,229.791,0.27744,0.4832,0.20075,0.33681,0,0,0,0,0,1,0,0,0,0,80,20,80,20,153.8185,160.6983,44.3659,40.9366
VP44,no,no,0.38252,0.35273,0.13724,0.14869,0,0,0,0,3,1,1,2,0,0,80,20,80,20,453.0033,569.6477,266.6686,392.0049,0.17646,0.22891,0.11806,0.20214,0,0,0,0,0,1,0,0,0,0,80,20,80,20,111.3161,111.1292,59.8162,33.9177
VP45,no,no,0.60928,0.62031,0.21125,0.32769,0,0,0,0,2,1,1,0,0,0,80,20,80,20,1551.5973,1606.7785,471.9858,442.7951,0.19687,0.24531,0.1884,0.22838,0,0,0,0,2,0,0,0,0,0,80,20,80,20,110.2465,117.3635,23.1125,28.3903
VP46,no,no,0.50996,0.59102,0.16459,0.14263,0,0,0,0,4,1,0,0,0,0,80,20,80,20,2298.2504,2250.6586,612.3925,503.0434,0.36279,0.52187,0.11308,0.15003,0,0,0,0,4,0,1,0,0,0,80,20,80,20,102.4713,110.8451,19.415,19.1286
